clase1,clase2,clase3,clase4,clase5,clase6
gei,Cojudo,venezolanos de mierda,heredera inmunda,chimbombo,lila
come verga,sapo hijueputa,Ecuatoriano con cara de peruano,¿Sigues amando a la naturaleza a pesar de cómo te hizo?,chivato,salmón
mmvrg,hdp,viejo lesbiano ,Veo que reservaste este momento para humillarte más que nunca,chivo,"marrón, pardo, café, chocolate, castaño"
vrg,"Sango de verga 
",te crees aniñada y tienes cara de Rumiñahi,"Si reír es la mejor medicina, tu cara debe ser la mayor cura para el mundo",choto,
sango de verga,la reflechuchetumadre,gringo cara de verga,"Vuestra virginidad engendra gusanos, tal como el queso",chulo,violeta
cazuela de verga,bobo,venezolano ladron,Decendiente de ratas,cincuentón,naranja
aprenderás majado e verga,Es sapo mmv,peruano mutacion humana,Digno de su nombre,cochón,tiene que hacer el pedido en ebay y de ahi solicitar
gaver,cabeza de nabo,indigenas con peinados asiaticos,Hace honor a su cara,cola,un  envio a ecuador
se fue a la gaver ,invalido hpt,venezolanos flacos de mierda,De tal palo tal astilla,colepato,mexico
tu mujer tiene cara hombre,puta tu madre,terroristas pandilleros,Cuernudo como el padre,colihuacho,argentina
pito con pito no va,"moreno de a verga
",feo de mierda,De sus padres saca lo majadero,colipato,colombia
tijeras con tijeras tampoco va,plaston mamaverga,desnutrido ,Zorra como la madre,colizón,peru
maricon,la puta que te pario,desnutrido hijo de puta,Aprende lo facil de la madre,cueco,venezuela
que maricon eres,la remil puta que te pario,blancos tirado a leche,Solo es un bastardo mas,cuecón,guatemala
dejate de la mariconada,perra,negro hijueputa te ries y solo se te ven los dientes,Debes ser del sur.,clero,honduras
empenzaste con tus mariconadas,mal nacido ,cara de llama,Delicada mariposa del norte,cundango,brazil
mascatripa,plaston,cara de indio,Comeburras,escarola,chile
chucha,sabido de verga,inca hijo de puta,Ha de ser hijo de primos,farifo,telefono
oe chucha ven para aca,hpta,tiene cara de choro,Sus padres eran primos,fleto,De
que chucha ya valimos,sabido,inca apestoso,Huele a indio,flor de apio,La
la chucha de tu madre,mierda,chorro,Indio carishino,floripondio,Que
huele verga,eres una mierda,pastrulo,Indio longo,fresco,El
chupa pitos,eres una huevada,atorrantes,Indio sucio,galleta,En
estupido mamaverga,indio pendejo,runa cojudos ,Deja que la prole hable,gay,Y
mamawebaso,pendejo,caido del monte,Patetico indio,guey,A
te apesta la chucha ,longo bobo,pruanos pastrulos,Hijo bastardo,guei,Los
pija,hp,monos con gallinas,Mestizo de dos clases,gei,Se
pija chica ,cholo mamaverga,venezolanos asesinos ,Sucio mestizo,gai,Jajja
vales verga ,moreno apestoso,asesinos,Ana lisa melano,hueco,dale
meco hijueputa ,eres un dientesa chuecos,pandilleros,Zacarías Leche del Monte,joto,dele
huevo,panzon,grindios,María Melo Machuca,jotolón,Las
huevonazo,indio vago,migrantes ladrones,Lalo Onganiza,jula,Por
apestas a ñoña,mono sabido,migrantes matones,Aquiles Pico,julandrón,Pero
huevon,vesijueputa,extranjero triple hijueputa,Carmelo Tallas,kei,Sus
guebo,eres bien hijueputa,peruanos feos,Pato Carlo,loca,Este
guebon,calla hijueputa,peruanos de mierda,Ana Lisa Melchotto,locasa,Entre
que guebon eres,hijueputa,venezolanos de mierda,Virginia de Loyo Aguado,locaza,También
quien chucha se me tomo el agua,"rata hijueputa
",colombianos matones,Elsa Bueso,locota,Había
anda maricon,mamaracho,colombianos guerrilleros,Dolores de Cueva,magolla,Claro
chucha el coco mas caro que me eh comido en la vida,mamaracho de mierda,chavistas arrepentidos,Luisma Ricon,mamita,Grupo
chuca la madre,carajo,saquenlo del pais,Zoila Sorda,marica,Personas
comerte el coco,cojudo de mierda,escoria chavista,Mojameque Mequemo,marico,Partido
que dices maricon que hablas y hablas,cojudo hp,regresate a tu pais muerto de hambre,Casimiro Lateta,maricón,Embargo
Te gusta la papaya raspada,cabron,regresa a tu pais rata,María Pequeña de Grande,maricota,Político
Se te viro la canoa,cabron de mierda,rata corrida,José Boquitas de la Corona,maricueca,Historia
Jugo de badea,por la gran mierda,fulana venezolana,Tomás Turbado,marijuli,Condiciones
Muvete soplador,careco,indios ignorantes,Miguel Ambes Parada,marión,Nuestro
pulemazos,carecojudo,muerto de hambre,Meardel Pesón,mariposa,Puerta
vergazos,bobo de miercoles,negros vagos y ladrones,Lalo Onganiza,mariposo,Grandes
lameculos,eres un vendido de a verga,indios hijueputas hechos los grigos,Salomé Terán Tiezo,mariposón,Ningún
pijaso,idiota,cholos hujueputas,Carmelo Tallas,mariquín,Países
pillisa,Deja de ser badulaque ve,cholos hujueputas,Elsa Porrico,mariquita,Presencia
sopla gaitas,Badulaque,venezolanos vagos,Zacarías Blanco del Fierro,marisco,Ex
traga pepinos,eres un cepillo mamaverga,vagos mantenidos,Aquiles Pico,maritonta,Servicio
lame faros,ojon de verga,venezolanos mantenidos,Marisa Caleche,marolo,Hablar
boca de chancho,hocicón,runa tierra arriba ,Carmela Rosas,mayate,Mano
tornillo chueco,hocicón de mierda,indios de diente amarillo,Willy Melano,medio,Sociedad
concha,eres bruto ,colombiano bobo,Zacarías Bello Delano,mediomedio,Idea
la concha tu madre,estupido ,extranjero tartoso,Pato Carlo,mondrigón,Relaciones
cuca,longo bruto,extranjero estúpido,Zoyla Alegría Delano,mostacero,Población
te apesta la cuca,indio bruto ,payasos sin educación ,Ana Lisa Melchotto,mostaza,Cultura
papa,bruto ,india me das asco,Tukulo Sacallama (nombre japonés),muerdealmohadas,Arte
papa estrecha,indio de mierda ,india puta,Mikoko Yanosuda (coreano radicado en Chile),nandi,Paz
activo,mugroso ,negro ridículo,Memo Hérdez,pájaro,Miembros
pasivo,longo mugroso ,indio ridículo,Virginia De Loyo Aguado,pato,Edad
maricona,negro mugroso ,sumisos invasores ,Benito Carlos Del Toro,parcha,Movimiento
tremenda maricona que es,n,longo desadaptado,Elza Pallo,parchita,Bueno
lesbi,gil ,indio inutil no sirves para nada,Elsa Polelúo,pargo,acomando bien bonito para que se reconozca bien las palabras
porque siempre comes brocoli,Indio lentejo ,habla despacio extranjero hijueputa,Vicente Nario,pargoleta,si todo hacia abajo
cabrón,lentejo ,habla con cernidera que me manchas negro,Elsa Bueso,pillín,Posibilidad
que muñeca eres,imbecil ,negro prestame tu dedo para escribir ,Germán Satula,pirobo,Capacidad
se le chorrea el helado,tonto,colombiano gonorrea,Zoyla Cerda,playo,Aire
Se te aflojo el cauchito,ignorante ,gorda promiscua,Dolores de Cueva,puñal,Investigación
se le moja la canoa,negro ignorante,por mi pais comes hijueputa ,Déborah Vergara Parada,puñalete,Calidad
le suda la espalda,indio tonto ,bola de ladrones,Zoila Concha Rojas,puñetas,Nuevas
patea con los dos pies,indio ignorante ,nos quitas el trabajo mal parido ,Valesca Llampa,puteque,xd
volteadora,negro bruto ,no queremos ratas en nuestro país,Juan Chota Corta,putete,Siguiente
maricueca,negro imbecil ,longo careverga parido por el culo,Juana viuda De Melano,puto,amor propio
Zorrito,narizon,trabaja como negro,Robert Galarga,rosquete,Simplemente hermoso
Soplador,narizon de a verga ,eres un esclavo,Maite Lometo,rosquetón,studia en el único instituto oficial con el aval del Gobierno de Italia y con profesores 100% italianos.
sopla pijas,tonto de a verga ,merienda de negros,María Melo Machuca,rosca,FIEL AL MATERIAL ORIGINAL
Sopla nuezes,"rechuchetumare 
",garbanzo negro,Memo Erdez,sape,Joder esa referencia es esencial
Mascavrg,rechuflatumare,indio pasivo,Selena Mora,sapísimo,le dejo la tarea de hoy
Pelavrg,feo hijo de puta ,indio de clase media,Luisma Ricón,sarasa,ya bn harto
Poco hombre,nariz de loro ,longa fea,Juancho Talarga,seco,Y eso que el profesor hasta le estaba dando ánimos xdd
Pata de chivo,nariz de lampara amarrada ,eres feo terrorista de mierda,Zoila Cueva del Toro,señorito,"La seguridad en el transporte público es urgente, no podemos movilizarnos con tranquilidad sin tener que estar en alerta todo el tiempo para que no nos roben."
perdiste el aceite,drogo ,saca de aqui maldito ,Teorino Laraya,señorón,"Pensemos bien a quien damos nuestro voto. Somos ciudadanos independientes por una causa cívica, sin afiliación política."
Pusilánime,drogo de a verga ,asqueroso lárgate,Benito Carlos Bustos,soplanucas,Confirmo soy el que antoja
Mameluco,marihuanero hpt,indio asqueroso,Elba Ginaso,tragasables,Lo bueno es que no tengo amigos!
Matasantos,choro hp ,gringo hijueputa,Pato Carlos,tramboyo,Espera que
que mariconsicimo es,choro mamaverga,gringo gil,Zoila Sorda,trolo,espera k
la Pucha Madre,choro ,campesino sin gracia,Elver Galarga,trucha,Grande rei chikita
Cementerio de testosterona,pobre hijueputa,campesino de mierda,Mónica Carancia,virulea,chiquita
Paleontólogo de chepas,periquero,campesino sucio,Mama Dora,wisconsin,chiquito
marica,la milputatumare ,campesino analfabeto,Zoyla Concha Parda,ahombrada,Universidad resumida en 8 segundos
que marica ,vales mierda ,indio analfabeto,Tommy Rabo,arepera,Mínimo los universitarios deberían tener vacaciones en verano
loca,vales 3 hectareas de mierda ,pobre ignorante,Lucila Tanga,bollera,Santos yo ahorita estudiando y trabajando xd
miren esa loca ,eres pendejo,indio ignorante,Dora Melcacho,bollo,tu estas en instituto xd
tortillera,eres bruto,indigena ignarante de mierda,Mojameque Mequemo,bombero,Por eso no estudien universidad
a ella le gustan las toritillas,cinico,ñengoso feo,"Rita Lazo (al revés, Lazo Rita)",cacha,Jaja la neta si
eres una nenasa,cinico hijueputa,patas sucias,Alex Plosivo,cachapa,Ahhh lo dijiste
Se te moja la canoa,cinico de a verga ,con la mirada me robaste hasta el celular,Benito Camela,cachapera,Dijo que lo haría pero no lo tome enserio
Pateas con la izquierda,mal parido ,ñaña de pierna,Aquiles Pinto Paredes,camionera,Lo cambia todo
boyera,mal parido hijueputa ,hijo de la valienta puta,Josechu Letón,camiona,Esta porque me gustó mi cabello
que boyera, Pedazo de animal hijueputa ,pelado hijueputa,Agapito Vélez Ovando,changa,que le hicieron a 
tortero,Malnacido,gordo mofletudo,Rosa Melgorro,chito,Sugoi
mamón,Malnacido hijueputa ,rata de alcantarilla,Chico Dávalos,cundanga,politicos latinoamericanos be like
que mamón eres,invalido,indio cara de verga,Ana Lisa Melchocho,fleta,Que tanto hacían en el hotel
Adefecio se hombre,Care gil,longo espantoso,Juan Telas Carbo,hueca,trucos circenses
mamita,Chiflado,longo asqueroso,María Melo Muchaca,levis,Payasadas
pingaloca,Chiflado de a verga ,indio de basurero,Paca Gartela,lela,No entendí
machete,Cizañoso hp ,negro cochino,Pachín Gartela,lesbi,este es hombre o femenina? tengo duda
manguera,Enano fachín,sal de mi vista indio asqueroso,Ana Lago Saras,machona,"y pues iba bolbiendo de su eskuelita, cuando la kombi se paro y ella dijo k ped"
mazo,enfermo,hermanos pecadores ,Aitor Menta,machorra,Una familia va al médico
Traigan el arroz y la carne porque ya tenemos la menestr,enfermo hijueputa ,hermanos perdidos y pecadores ,Armando Guerra,maría tres cocos,Por fin pude entender ese chiste XDXDXD.
La chepa te huele a tilapia dañada,Fantoche,cholo re verga ,Víctor Tazo,maricona,dónde están todos los políticos como diputados y senadores en si la mayoría solo hacen puras tonterías por eso el chiste
No cogí vacaciones porque tu madre se muere de hambre si no le voy a dejar el almuerzo al chongo,Lelo,porque no te vas a la puta tu mare,Esther Colero,marimacha,"Banda necesito su ayuda,le estaba haciendo limpieza mi teclado pero ahora ya no me acuerdo donde hiba cada tecla"
Eres más feo que patada en los huevos,guambra Lelo,indio gran hijueputa,Zoyla Vaca,marimacho,mensaje correcto a la humanidad
Huevo con chanfle,loco ,longo mal parido ,Tomás Guarín,pájara,Cuerda
Nariz de verga,loco de a verga ,longa masca verga ,Aitor Tilla,panadera,"Niña has escuchado de la iniciativa ""wattpad""?"
Cabeza de condon,Mediocre,negro más feo que el mono ,Paco Gerlo,pastelera,"Que es mas importante protestar por la gente alfabeto, que por el hambre y el analfabetismo"
Tienes la chepa como bolsillo de payaso,Melenudo,negro enfermo ,Alberto Catetas,piroba,"La verdad estaría genial jajaja. Menos la parte de no jugar, ya están ahí y ya se murió banda de gente."
Culo con peste,cerdo,puta que asco me das,Capollas,torta,Ayer me tomé foto con un iPhone pero salió media rara
Nalga con pezuña,Payaso de verga,maldita perra jódete ,Caculos,torti,Algo que me gusta de la serie es que la terminaron antes de que le hicieran unos Simpson 2
Apestas a nalga sudada,cerdo miserable ,moreno hijo de puta ,Cacoños,tortera,Mande el original
Paloma caída,"cortate el pelo, melenudo ",cállate indio mamaverga ,María Unpajote,tortilla,literalmente yo
Bollo dañado,pelagato,vale verga este gringo hijueputa,Zoyla Becerra,tribada,eso es queso
Si te culeo me caen 6 tipos diferentes de sida,eres un pelagato de a verga ,gringo masca verga ,Macías Pajas,tríbada,"Completo, se murió"
Sopa,Desgraciado ,hecho el rico el estúpido,Paco Mermela,tortillera,En el original es una chica
Marimacha,longo gil,safa de aquí careverga,Déborah/Rosa/Abraham Melculo,trola,Pasa el link porfavor
Híbrido,Degenerado,si no te gusta puedes largarte ,Mónica Galindo,waffle,link
te gusta que te hagan tierrita,Podredumbre,negro cachudo ,Aquiles Bailoyo,zampabollos,"Este video no se subía ayer por mas que lo intenté, a ver si sube ahora. Saludos si es que lo ven."
Te gusta jugar a las tortillas,Bobaso hijueputa,negro pajero ,Damecio Jhon,zapatona,si
¿Quieres jugar al comando? Tú te agachas y yo te lo mando,Eres la podredumbre del país hp,longo re mil reflechucha ,E. Charles White,bagasa,oe
Pilas que no es semana santa y ya tenemos el menestron hecho,Tipejo,me asustaste peruano verga ,Abraham Celano,bordiona,oey
te gusta jugar a las espaditas,Torpe,safa de aquí runa ,Elsa Pito,cortesana,oye
Metan a sus perras porque mi perro está suelto,bola de hijueputas,hecho el santo el careverga ,Giovis Nastro Picales,fulana,"Durante la primaria ya no pude hacer crecer nada, pero hace unos dos años tuve una planta de tomate"
Soy un tren y voy sin frenos ,tontaso ,porque no te regresas a tu pueblo longo feo,Cindy Nero,furcia,Alguien tiene la imagen sin el texto?
Agarrame la berenjena,guambra payaso ,mono cabeza de verga ,Lucio Elano,hetaira,ola
Agarrame el barraganete,negro pendejo ,indio ctm,Ricardo Andelfo,meretriz,hola
Sopla verga,Desgraciado hijueputa,gringo tonto,Alma Marcela Goza de Alegría,prostituta,Le muerdo la lengua
Apagame la vela,Eres un tipejo mamarracho,gringo huevo chiquito,Carrasquilla Solano,ramera,te amu
Pichi corto,viejo pelagato ,indio shunsho cachudo,Armando Puentes,zorreta,hola mi amor
palo ,indio pata rajada ,indígena rocoto,Laura Terrazco,mujer de cascos ligeros,te amo
que paso con el peluche,gangoso,pastuso shunsho,Rosa Melo,mujer de moral distraida,eres mi amor
maní,Payaso ,indio rocoto,Jonnhy Melavo,mujer de la vida galante,hola lindo
pedazo de casco,mono bruto ,longo pasposo,Salomé Theran Grosso,chica de vida alegre,lindo bello
que mas cabezón,lerdo,indio tarugo,Elba Lazo,cocota,hermozo
agarra plumon,eres un longo lerdo ,serrano pastuso,Keko Ojones,cualquiera,hermoso
agrra microfono,"pareces bobo, indio lerdo",serrana sin gracia,María Dolores Del Orto,dama de la noche,equisde
come plátano,sonso,serrana sin culo ,Pepe Lotaso,dama de compañía,uwu
come quaker,eres un simple ,venezolana celulítica ,Rosa Melano,heredera,Osito
que hecho verga,que longo para menso ,mono cara de verga chucha tu mare,Débora Melo,hija de mal agüero,oso
mamona,que idiota eres cara de la buena verga ,mona ramera,Débora Teste,ligona,eso tiene que ser intencional
remojando los fideos,menso ,runa mal parido,Elba Gina,magdalena,Esos baits nunca dieron risa
anaconda,habla bien gangoso de verga,vomito al verte feo hijueputa,Ignacio Vergassola,mantenida,Nombre de la serie
cuidado con mi anzuelo,ahuevado ,indio borracho ,Rosamel Delgado,mesalina,Jajaja no se por que cuando dijo que puede cantar me esperaba que dijera que tiene una de las siete maravillas del mundo
te gusta el arroz que gei,eres un ahuevado de a verga ,longo aborto de la sociedad,Paco Jerte,mujer X,Ya lo vez
biberon,eres conchudo mamaverga ,indio aborto de la sociedad,Keko Yoma,mujer de chulos,"Estan re ""ardidos"" como dicen allá"
cara reza causa,que sonso que eres ve ,regresa a tu choza,César Noso,mujer de harén,Yo los bancaba
arrocillo,pareces payaso con esa ropa ,cholo lárgate a tu monte,Edgar Gajo,mujer de la mala vida,Aquí les dejamos un album de fotos de algunos grupos
bastón,hacharro,cara de ladrón tienes ,Edgar Ganta,mujer de la vida,Lo compartí porque no creí tener reacciones y no por llamar la atención
chorizo,eres un sin cejas,cállate longo hijueputa,Ester Mosobicho,mujer de mala vida,Cómo se llama este tipo de videos? Son los mejores XD
chula,hala qechipra,asquerosa rata invasora,Alan Brito Delgado,mujer de pedido,Mejor estudien morras porque la cantada no se les da
chupetín,tuerto ,perra arrimada,Lola Meraz,mujer de rojo,mi compa el más inteligente descubriendo videos que se grabaron cuando era adolescente.
cíclope,churchu,bruja loca,Olga Disima de Loyo,mujer que fuma,La parte mas chistosa es que aun que ya no parezca
fierro,longo de la selva ,mona cruceta,Omar Ciano,mujer fatal,termino de exponer la exposición más
hueso,frenton,mona loca,Omar Icón,mujer perdida,Mi tía la que quiere apoyar el conflicto pero no sabe de que hablan
hey cuidado con los colgados,jorobado,bruja desquisiada,Armando Paredes,mujer pública,Tengo tos y de tanto reír por esta mmada me dio un ataque qué casi me meo
si que te gusta la sopa de manguera,calvo,venezolado hijueputa,Elba Zurita,querida,Expliquen esto
maní,apestoso,fuera los venezolanos,Lago Loza,trabajadora de barra americana,"Completo, saquenlo de"
deja el maní,ese man es carboncillo,fuera guerrilleros colombianos,Kelyn Teresa Austed,trabajadora del amor,el tanque de gas
maní partido,bembom,plastones de mierda,Armando Bronca Segura,moza del partido,En fila para que asi se pueda monitorear mas facilmente
manicero,ese negro tiene la bemba grande ,pobre hijo de la valienta puta,Larry Cañonga,alegrona,"Mis compás y yo, viendo que el profe que era nuestro amigo ya nos reprobó a todos"
maracas,coqueado ,extranjero metido,Omar Garita,alemanita,No confundas el trabajo con la amistad
deja de tocarme las maracas,eres un tuerto hijueputa ,negro sabido,Ingrid Melhasova,aleta,"Recuerda que si no le hechas ganas, el será tu verdugo"
mucheco ,eres un apestoso ,negro escandaloso,Benito Camelo,anabolena,que no sabe nada de futbol
muñeco,mediocre de a verga ,guambra tarado,Lola Mento,avariuda,les iba a dar un baile espectacular pero se pudo
mutante,feo ,costeño negro,Armando Esteban Quito,ave blanca,Sin contexto...
nepe,Desperdicio de oxígeno,costeño gordo,Solomeo Paredes,banda,Repruebo una materia
nepe corto,bagre ,gordo teton,Rosa Amel Fierro,bandida,pero sos mas fuerte y te vuelves un heroe
nepe flacido,Este man es un bagre ,guambra mocoso ,Alex Cremento,blanca tratada,"No es una mala iniciativa, pero tengo unas correcciones que realizar."
paquete,batracio ,indio arrastrado,Ana Busado de Hesa,burraca,"-Parler no se ha confirmado como libre y segura, simplemente tiene menos reglas de censura y su audiencia está principalmente politizada. Mastodon es open-source y fue hecha con propósitos más generales."
payaso,pareces buitre ,indio cabeza de verga,Ana Tomía,burracona,"-Firefox es open-source y fue hecho con la privacidad en mente. No es necesario cambiarlo por Brave, además de que el zorrito tiene mejor soporte para bloqueadores de anuncios como uBlockOrigin."
pedazo ,cachudo ,malditos violadores,Andrés Tresado,buscona,"-Se pueden ver videos de YouTube sin preocuparse por el robo de datos por medio de Invidious y NewPipe. A mí no me molestan los datos que Google adquiere, pero aún así las uso por sus funciones extra que poseen."
pene,ese man es un calzoneado ,campesino asqueroso,Cindy Entes,cabaretera,Hagan su magia...
bulba,care pescado ,campesino bruto,Cindy Versión,calentorra,"Pasen esa imagen de rei, es pa una tarea manual"
la re chucha de tu madre,conchudo ,guayaquileños asesinos,Eddy Ficio,calientacamas,que este es uno de los pocos capítulos que me rehuso a ver
pedazo de mierda,sin verguenza ,guayacos matones,Elba Tracio,calientahuevos,"la doña esta mas volada, no sabe quien es la pareja de messi jajjaja"
peluchón,corta nota ,guayaco marihuanero,Zulma Lobato,calientapollas,Que bueno que el fandom
penélope,cuceta ,guayaco achero,Elena Nito,cambri,Juegos más de tipo árcade donde se necesitan personajes para llenar plantilla.
pepino,eres una chancleta ,gringo metido,Elmer Kado,caminadora,Con quien engañaste a tu esposa?
puga,ese man es un chiro ,mona celulitica,Elsa Nitario,candonga,inge ingeniero master magister profe teacher senpai sensei
chipi,chiro ,cholos mandarinas,Elsa Pato,cantonera,"Alv, me salió otro brazo"
pirula,turro ,quiteños sangrones,Elton Tito,casquivana,Raza podrían encuerarlo porfa xD
salchica,que turro que es ese man ,venezolanos care masos,Elvio Lado,chai,Es tu tio uwu
salchichon,chupamedias ,no me confundas con esos peruanos feos,Elvio Lento,chango,Xq tanto frame de barbilla roja mostrando el pelo
que tripa tan podrida,ostentoso ,ni que tuviera tu cara longo verga,Elvis Cochuelo,chapeadora,curseado
pepito,ese man es un ostentoso de a verga ,ñengoso ridículo,Elvis Nieto,chica de atasco,cursi
pimpón,panzon,cual ñengoso gordo mamaverga,Ema Amado Bustos,china tratada,lee los comentarios
tremendo plátano,grajiento ,los ñengosos de guayaquil,Henry Dículo,chingada,Me vale si el primo de
rambito,ladilla,ñengosos pandillleros,Pamela Rosas,chirlata,llega al juego
que rata corta,ese man jode como ladila,gangoso hijueputa,Pepe Lado,chonga,Que diablos es eso
la tiene abierta,lorenzo ,pelado ñengoso no estas listo para esta conversa,Pepe Lotudo,chuchumeca,Me tomé 2 botellas de vino luego me fui a mi habitación y me vesti así xD
tremenda alcancía,este man es mas lorenzo ,guayacos pelucones,Alma Madero,chumascona,Sabio diosito
araña,machetero ,ñengosos hijos de puta,Ana Bohueles,chuminista,nace nacer crecer morir reproducirse  reproducir morido muerto 
que tal esa baticueva,ese profesor es un machetero hijueputa ,monas grillas,Débora Testa,chupapijas,sin comentarios
bicho,cagon ,monas arrechas,Yokero Tuchiko,chupetera,Hermanos
bichota,pedorro ,arrecha,Tanaka Karamoko,chupona,duo de sonrisas
cebiche,Despojo de carne,tu y tu tribu de vergas,Keko Jones,churrera,Martes de Rei
que ricos chocos,Naciste por cagada,pastores ladrones,Marc Tillo,cisne,Me recuerda a qué los estudios de
chuchis,niche ,curas mujeriegos,Alberto Catesta,cleopatra,no quieren nada de rule ni h
concha de tu madre,patucho ,lacras andantes,Rosamel Ortega,cocu,-“Dios creó al hombre para la mujer y a la mujer para el hombre”
la reconcha de reputisima madre,eres un patucho de mierda ,costeños farcelonistas,Pepe Lotazo,coima,y esa no es la creación de Dios ?
cucaracha,pipon,esa tipa odiosa,Elvis Teck,colipoterra,Si una chica dice que es un mapache me da esperanzas... A los mapaches les gusta comer de la basura.
cueva,tu padre es un pipon ,Indios raspachines,Próculo A. Prieto,concha,Pensé que era un huevo frito xdd
flor,pitufo ,hijueputas indios,Teyeno Tuoyo (Japón),conchita,Agárrame fuerte profe que no le entiendo
florcita,eres un pitufo ,indios hijueputas no salgan de sus chacras,Al-Bajad Mamad (árabe),coneja,así tiene q decir
que mariconcita es,ese man es un rayado de a verga ,indios brutos,Al-Sakad Meted (árabe),costillera,Yo ando aún con tos y mocosa
hoyo,sapo ,maten a esos indios,Yotoko Turaja (Japón),cuca caliente,enfermito
la empanada,virolo ,cavernícolas de sangre azul,Aquiles Castro,cuero,malito
la bocona,sale de aqui virolo de a verga ,indios narcoterroristas,Icela Creyo,currulaca,mal de la cabeza
empanda,que burro es ese man ,blanqueados hijueputas,Hal Colico,daifa,con sueño
cucharitas,energumeno,longos sarnosos,Sacarías Flores del Campo,easy,dormido
tremenda peluda,pareces energumeno con esa cara,pedazo de celulas guerrilleras,Débora Dora De Cabezas,elementa,a mimir
labios,inepto , indios pa'tercos,Rodrigo Melo Rosa,enrayada,mimido
mariscos,percherona ,colombianos criminales ladrones,Elma Canon Prieto,espatarrada,El señor del bigote
te huele feo los mariscos,bastardo ,malparidos ,Luz Clarita,esquinera,"De hecho la raíz de nuestro comportamiento depende mucho de como somos afectados en nuestra infancia y adolescencia, uno no nace homosecsual, si no que se busca con una pareja cubrir algo que no se tuvo, cubrir cierta tendencia, a veces es malinterpretación de las amistades, problemas familiares, etc, que no les mientan con que estan obligados a tener una sexualidad, si quieren cambiarla hay metodos totalmente seguros y no dañinos, pero esta botana la escena."
panocha,eres un mudo mmv ,descarados,Dolores Delano,firula,Pero si fuera al contrario
papaya ,esa man ya es percherona ,zarrapastrosos,Marciano E. Chamelo,folladora,Se viene más adaptaciónes al anime de
que rica papaya,patojo ,indigena zarrapastrosos,Mela Halo,frinchi,"fue el que quiso quitar a uno de los mejores personajes de la series porque según ellos ""no iba con su imagen"""
peloconda,mueve patojo ,amazónicos de mierda,Casimiro Lateta,fuellera,El viejo verde
pochita,"es man es un zebra, por burro y rayado ",esos hijueputas de los amazónicos son una mierda ,Tepico tu Teta,fufa,𝗲𝗺𝗽𝘂𝗷𝗮 𝗮𝘁𝗿𝗼𝗽𝗲𝗹𝗹𝗮 𝗮 𝗽𝗲𝗿𝗼 𝗰𝗼𝗻 𝗹𝗮 𝗰𝗮𝗻𝗰𝗶𝗼́𝗻 𝗱𝗲 𝗳𝗼𝗻𝗱𝗼
pozo de los deseos,dienton ,indios hambrientos,Agarramel Pesón,fufurufa,Que inocente
selva,cacheton ,colombianos mama burras,El dios chino Soyuni Diota,fumona,Falta la escena donde saca una bebida del refri
vagina,eres una basura ,ven chucha tu madre,Jack Hallate,gamberra,una rubia privilegiada con cero aportes musicales y con un álbum que la mayoría de artistas femeninas pop podrían hacer.
tunel del terror,eres un horroroso de a verga ,indio gil,Susana Horia,gato,Pero nadie habla de ello por el exceso de sobrevaloración que le
caramandunga,cobarde ,guambra de mierda,Estela Mamo,golfa,A veces me da mucha tristeza pensar que
